Unnamed: 0,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won,2p,2pa,2p%,2p_opp,2pa_opp,2p%_opp,diff_fg,diff_fga,diff_fg%,diff_3p,diff_3pa,diff_3p%,diff_2p,diff_2pa,diff_2p%,diff_ft,diff_fta,diff_ft%,diff_orb,diff_drb,diff_trb,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,diff_pts
18586,240.0,240.0,43.0,91.0,47.3,17.0,33.0,51.5,12.0,20.0,60.0,13.0,42.0,55.0,26.0,10.0,2.0,17.0,19.0,115.0,,0.576,0.566,0.363,0.22,28.9,87.5,59.1,60.5,10.0,4.0,14.6,100.0,115.0,94.0,LAL,115,0,1,240.0,240.0,36.0,85.0,42.4,10.0,35.0,28.6,12.0,16.0,75.0,6.0,32.0,38.0,24.0,8.0,5.0,14.0,16.0,94.0,,0.511,0.482,0.412,0.188,12.5,71.1,40.9,66.7,8.0,8.6,13.2,100.0,94.0,115.0,SAC,94,1,2021,2021-04-02,True,26.0,58.0,44.827586206896555,26.0,50.0,52.0,7.0,6.0,4.899999999999999,7.0,-2.0,22.9,0.0,8.0,-7.172413793103449,0.0,4.0,-15.000000000000002,7.0,10.0,17.0,2.0,2.0,-3.0,3.0,3.0,21.0
18587,240.0,240.0,36.0,85.0,42.4,10.0,35.0,28.6,12.0,16.0,75.0,6.0,32.0,38.0,24.0,8.0,5.0,14.0,16.0,94.0,,0.511,0.482,0.412,0.188,12.5,71.1,40.9,66.7,8.0,8.6,13.2,100.0,94.0,115.0,SAC,94,1,0,240.0,240.0,43.0,91.0,47.3,17.0,33.0,51.5,12.0,20.0,60.0,13.0,42.0,55.0,26.0,10.0,2.0,17.0,19.0,115.0,,0.576,0.566,0.363,0.22,28.9,87.5,59.1,60.5,10.0,4.0,14.6,100.0,115.0,94.0,LAL,115,0,2021,2021-04-02,False,26.0,50.0,52.0,26.0,58.0,44.827586206896555,-7.0,-6.0,-4.899999999999999,-7.0,2.0,-22.9,0.0,-8.0,7.172413793103449,0.0,-4.0,15.000000000000002,-7.0,-10.0,-17.0,-2.0,-2.0,3.0,-3.0,-3.0,-21.0
20250,240.0,240.0,35.0,89.0,39.3,15.0,38.0,39.5,18.0,23.0,78.3,11.0,27.0,38.0,19.0,6.0,3.0,16.0,17.0,103.0,,0.52,0.478,0.427,0.258,23.9,81.8,48.1,54.3,5.9,5.3,13.9,100.0,102.1,138.8,OKC,103,0,1,240.0,240.0,54.0,90.0,60.0,15.0,33.0,45.5,17.0,21.0,81.0,6.0,35.0,41.0,36.0,12.0,8.0,10.0,20.0,140.0,,0.705,0.683,0.367,0.233,18.2,76.1,51.9,66.7,11.9,15.7,9.2,100.0,138.8,102.1,PHO,140,1,2021,2021-04-02,False,20.0,51.0,39.21568627450981,39.0,57.0,68.42105263157895,-19.0,-1.0,-20.699999999999996,0.0,5.0,-6.0,-19.0,-6.0,-29.205366357069146,1.0,2.0,-2.7000000000000024,5.0,-8.0,-3.0,-17.0,-6.0,-5.0,6.0,-3.0,-37.0
20251,240.0,240.0,54.0,90.0,60.0,15.0,33.0,45.5,17.0,21.0,81.0,6.0,35.0,41.0,36.0,12.0,8.0,10.0,20.0,140.0,,0.705,0.683,0.367,0.233,18.2,76.1,51.9,66.7,11.9,15.7,9.2,100.0,138.8,102.1,PHO,140,1,0,240.0,240.0,35.0,89.0,39.3,15.0,38.0,39.5,18.0,23.0,78.3,11.0,27.0,38.0,19.0,6.0,3.0,16.0,17.0,103.0,,0.52,0.478,0.427,0.258,23.9,81.8,48.1,54.3,5.9,5.3,13.9,100.0,102.1,138.8,OKC,103,0,2021,2021-04-02,True,39.0,57.0,68.42105263157895,20.0,51.0,39.21568627450981,19.0,1.0,20.699999999999996,0.0,-5.0,6.0,19.0,6.0,29.205366357069146,-1.0,-2.0,2.7000000000000024,-5.0,8.0,3.0,17.0,6.0,5.0,-6.0,3.0,37.0
21696,240.0,240.0,41.0,88.0,46.6,12.0,37.0,32.4,5.0,10.0,50.0,4.0,43.0,47.0,19.0,6.0,2.0,10.0,12.0,99.0,,0.536,0.534,0.42,0.114,10.5,82.7,52.2,46.3,6.3,3.9,9.8,100.0,104.1,90.5,DAL,99,0,1,240.0,240.0,32.0,89.0,36.0,12.0,38.0,31.6,10.0,10.0,100.0,9.0,34.0,43.0,18.0,7.0,3.0,11.0,17.0,86.0,,0.46,0.427,0.427,0.112,17.3,89.5,47.8,56.3,7.4,5.9,10.5,100.0,90.5,104.1,NYK,86,1,2021,2021-04-02,True,29.0,51.0,56.86274509803921,20.0,51.0,39.21568627450981,9.0,-1.0,10.600000000000003,0.0,-1.0,0.8000000000000007,9.0,0.0,17.64705882352941,-5.0,0.0,-50.0,-5.0,9.0,4.0,1.0,-1.0,-1.0,-1.0,-5.0,13.0
21697,240.0,240.0,32.0,89.0,36.0,12.0,38.0,31.6,10.0,10.0,100.0,9.0,34.0,43.0,18.0,7.0,3.0,11.0,17.0,86.0,,0.46,0.427,0.427,0.112,17.3,89.5,47.8,56.3,7.4,5.9,10.5,100.0,90.5,104.1,NYK,86,1,0,240.0,240.0,41.0,88.0,46.6,12.0,37.0,32.4,5.0,10.0,50.0,4.0,43.0,47.0,19.0,6.0,2.0,10.0,12.0,99.0,,0.536,0.534,0.42,0.114,10.5,82.7,52.2,46.3,6.3,3.9,9.8,100.0,104.1,90.5,DAL,99,0,2021,2021-04-02,False,20.0,51.0,39.21568627450981,29.0,51.0,56.86274509803921,-9.0,1.0,-10.600000000000003,0.0,1.0,-0.8000000000000007,-9.0,0.0,-17.64705882352941,5.0,0.0,50.0,5.0,-9.0,-4.0,-1.0,1.0,1.0,1.0,5.0,-13.0
12896,240.0,240.0,35.0,74.0,47.3,10.0,31.0,32.300000000000004,21.0,25.0,84.0,5.0,30.0,35.0,25.0,7.0,4.0,15.0,15.0,101.0,,0.594,0.541,0.419,0.338,13.2,88.2,48.6,71.4,7.4,9.1,15.0,100.0,107.4,122.3,CLE,101,0,1,240.0,240.0,44.0,82.0,53.7,15.0,38.0,39.5,12.0,16.0,75.0,4.0,33.0,37.0,35.0,6.0,3.0,11.0,20.0,115.0,,0.646,0.628,0.463,0.195,11.8,86.8,51.4,79.5,6.4,7.0,11.0,100.0,122.3,107.4,MIA,115,1,2021,2021-04-03,False,25.0,43.0,58.139534883720934,29.0,44.0,65.9090909090909,-9.0,-8.0,-6.400000000000006,-5.0,-7.0,-7.200000000000001,-4.0,-1.0,-7.7695560253699725,9.0,9.0,8.999999999999996,1.0,-3.0,-2.0,-10.0,1.0,1.0,4.0,-5.0,-14.0
1273,240.0,240.0,35.0,86.0,40.7,5.0,25.0,20.0,12.0,15.0,80.0,9.0,35.0,44.0,12.0,4.0,3.0,14.0,21.0,87.0,,0.47,0.436,0.291,0.174,20.0,71.4,46.8,34.3,4.3,5.0,13.1,100.0,93.3,117.0,WAS,87,1,0,240.0,240.0,40.0,90.0,44.4,10.0,30.0,33.300000000000004,19.0,24.0,79.2,14.0,36.0,50.0,17.0,7.0,4.0,7.0,22.0,109.0,,0.542,0.5,0.333,0.267,28.6,80.0,53.2,42.5,7.5,6.6,6.5,100.0,117.0,93.3,DAL,109,0,2021,2021-04-03,False,30.0,61.0,49.18032786885246,30.0,60.0,50.0,-5.0,-4.0,-3.7000000000000033,-5.0,-5.0,-13.3,0.0,1.0,-0.8196721311475419,-7.0,-9.0,0.8000000000000007,-5.0,-1.0,-6.0,-5.0,-3.0,-1.0,7.0,-1.0,-22.0
1544,240.0,240.0,30.0,85.0,35.3,8.0,34.0,23.5,17.0,24.0,70.8,12.0,34.0,46.0,17.0,4.0,6.0,22.0,21.0,85.0,,0.445,0.4,0.4,0.282,22.6,69.4,45.1,56.7,3.9,10.3,18.7,100.0,83.1,130.1,OKC,85,0,1,240.0,240.0,51.0,104.0,49.0,20.0,46.0,43.5,11.0,14.0,78.60000000000001,15.0,41.0,56.0,25.0,13.0,3.0,9.0,18.0,133.0,,0.604,0.587,0.442,0.135,30.6,77.4,54.9,49.0,12.7,5.9,7.6,100.0,130.1,83.1,POR,133,1,2021,2021-04-03,False,22.0,51.0,43.13725490196079,31.0,58.0,53.44827586206896,-21.0,-19.0,-13.7,-12.0,-12.0,-20.0,-9.0,-7.0,-10.311020960108175,6.0,10.0,-7.800000000000007,-3.0,-7.0,-10.0,-8.0,-9.0,3.0,13.0,3.0,-48.0
1545,240.0,240.0,51.0,104.0,49.0,20.0,46.0,43.5,11.0,14.0,78.60000000000001,15.0,41.0,56.0,25.0,13.0,3.0,9.0,18.0,133.0,,0.604,0.587,0.442,0.135,30.6,77.4,54.9,49.0,12.7,5.9,7.6,100.0,130.1,83.1,POR,133,1,0,240.0,240.0,30.0,85.0,35.3,8.0,34.0,23.5,17.0,24.0,70.8,12.0,34.0,46.0,17.0,4.0,6.0,22.0,21.0,85.0,,0.445,0.4,0.4,0.282,22.6,69.4,45.1,56.7,3.9,10.3,18.7,100.0,83.1,130.1,OKC,85,0,2021,2021-04-03,True,31.0,58.0,53.44827586206896,22.0,51.0,43.13725490196079,21.0,19.0,13.7,12.0,12.0,20.0,9.0,7.0,10.311020960108175,-6.0,-10.0,7.800000000000007,3.0,7.0,10.0,8.0,9.0,-3.0,-13.0,-3.0,48.0
8801,265.0,265.0,48.0,99.0,48.5,10.0,29.0,34.5,27.0,32.0,84.39999999999999,18.0,28.0,46.0,22.0,6.0,6.0,17.0,21.0,133.0,,0.588,0.535,0.293,0.323,35.3,71.8,51.1,45.8,5.6,9.2,13.1,100.0,124.1,129.7,SAS,133,1,0,265.0,265.0,52.0,94.0,55.3,12.0,29.0,41.4,23.0,26.0,88.5,11.0,33.0,44.0,27.0,10.0,6.0,13.0,22.0,139.0,,0.659,0.617,0.309,0.277,28.2,64.7,48.9,51.9,9.3,8.6,11.0,100.0,129.7,124.1,IND,139,0,2021,2021-04-03,False,38.0,70.0,54.285714285714285,40.0,65.0,61.53846153846154,-4.0,5.0,-6.800000000000006,-2.0,0.0,-6.9,-2.0,5.0,-7.252747252747261,4.0,6.0,-4.100000000000003,7.0,-5.0,2.0,-5.0,-4.0,0.0,4.0,-1.0,-6.0
8800,265.0,265.0,52.0,94.0,55.3,12.0,29.0,41.4,23.0,26.0,88.5,11.0,33.0,44.0,27.0,10.0,6.0,13.0,22.0,139.0,,0.659,0.617,0.309,0.277,28.2,64.7,48.9,51.9,9.3,8.6,11.0,100.0,129.7,124.1,IND,139,0,1,265.0,265.0,48.0,99.0,48.5,10.0,29.0,34.5,27.0,32.0,84.39999999999999,18.0,28.0,46.0,22.0,6.0,6.0,17.0,21.0,133.0,,0.588,0.535,0.293,0.323,35.3,71.8,51.1,45.8,5.6,9.2,13.1,100.0,124.1,129.7,SAS,133,1,2021,2021-04-03,True,40.0,65.0,61.53846153846154,38.0,70.0,54.285714285714285,4.0,-5.0,6.800000000000006,2.0,0.0,6.9,2.0,-5.0,7.252747252747261,-4.0,-6.0,4.100000000000003,-7.0,5.0,-2.0,5.0,4.0,0.0,-4.0,1.0,6.0
