,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,64-18,37-4,27-14,41-11,23-7,15-2,13-5,13-4,4-Jun,3-Jul,Oct-00,43-12,21-6,7-Jun,42-5,Mar-00,4-Nov,2-Dec,5-Nov,1-Sep,4-Dec,2-Jun
2,Denver Nuggets,57-25,33-8,24-17,24-6,33-19,2-Aug,2-Aug,2-Aug,6-Oct,7-Nov,6-Dec,36-19,21-6,6-Jun,28-10,Apr-00,6-Sep,5-Oct,5-Oct,3-Aug,4-Nov,2-May
3,Oklahoma City Thunder,57-25,33-8,24-17,21-9,36-16,4-Jun,4-Jun,1-Sep,4-Dec,7-Nov,13-5,37-17,20-8,3-Jun,32-10,1-Mar,5-Sep,3-Oct,6-Nov,3-Aug,4-Nov,3-May
4,Minnesota Timberwolves,56-26,30-11,26-15,19-11,37-15,4-Jun,4-Jun,3-Jul,4-Dec,7-Oct,15-4,39-16,17-10,6-Jul,32-10,2-Jan,13-2,3-Oct,7-Oct,3-Aug,6-Sep,3-May
5,Los Angeles Clippers,51-31,25-16,26-15,21-9,30-22,4-Jun,4-Jun,1-Sep,9-Oct,7-Sep,6-Nov,36-17,15-14,4-Jun,28-17,1-Mar,9-May,2-Nov,3-Dec,5-Jun,7-Oct,4-Apr
6,Dallas Mavericks,50-32,25-16,25-16,19-11,31-21,4-Jun,7-Mar,Oct-00,9-Oct,7-Oct,5-Nov,32-23,18-9,2-May,31-21,Mar-00,6-Aug,8-Aug,8-Jul,3-Aug,4-Nov,3-May
7,New York Knicks,50-32,27-14,23-18,35-17,15-15,5-Dec,7-Nov,5-Dec,5-May,4-Jun,6-Apr,33-22,17-10,3-Apr,32-16,2-Feb,5-Sep,8-Jun,14-2,8-Apr,5-Sep,2-Jun
8,Milwaukee Bucks,49-33,31-11,18-22,34-18,15-15,6-Dec,7-Oct,5-Dec,6-Apr,5-May,4-Jun,35-21,14-12,6-Apr,25-16,1-Feb,5-Nov,2-Nov,8-Aug,5-Jul,6-Aug,6-Feb
9,New Orleans Pelicans,49-33,21-19,28-14,19-11,30-22,2-Aug,5-May,4-Jun,8-Sep,7-Dec,7-Sep,33-22,16-11,7-Jan,32-18,1-Feb,8-Aug,5-Sep,7-Aug,4-Aug,4-Oct,4-Apr
10,Phoenix Suns,49-33,25-16,24-17,20-10,29-23,6-Apr,2-Aug,2-Aug,5-Dec,9-Sep,9-Aug,33-22,16-11,6-Aug,29-14,2-Feb,5-Sep,8-Jun,5-Nov,4-Jul,7-Aug,2-Jun
11,Cleveland Cavaliers,48-34,26-15,22-19,31-21,17-13,8-Sep,5-Nov,8-Nov,5-May,6-Apr,2-Aug,36-17,17-Dec,5-Sep,24-16,3-Jan,6-Sep,5-Aug,2-Nov,4-Sep,10-Jul,4-Mar
12,Indiana Pacers,47-35,26-15,21-20,32-20,15-15,8-Oct,6-Nov,6-Nov,7-Mar,5-May,3-Jul,31-25,16-10,5-Jun,30-16,1-Feb,7-Jul,6-Aug,7-Oct,5-Jul,7-Aug,2-May
13,Los Angeles Lakers,47-35,28-14,19-21,20-10,27-25,4-Jun,2-Aug,4-Jun,8-Sep,10-Jul,7-Nov,30-26,17-9,4-Nov,20-25,2-Feb,7-Sep,8-Jun,8-Jul,3-Sep,5-Sep,2-May
14,Orlando Magic,47-35,29-12,18-23,32-20,15-15,8-Sep,14-5,7-Sep,3-Jul,8-Feb,4-Jun,30-25,17-10,9-Jun,27-20,2-Feb,3-Nov,8-Jun,10-Jun,3-Sep,5-Sep,4-Apr
15,Philadelphia 76ers,47-35,25-16,22-19,31-21,16-14,8-Aug,9-Aug,15-4,4-Jun,6-Apr,4-Jun,32-22,15-13,4-Mar,27-18,1-Feb,5-Oct,4-Oct,7-Jul,8-Apr,10-Jul,Jul-00
16,Miami Heat,46-36,22-19,24-17,32-20,14-16,10-Aug,7-Nov,13-3,7-Mar,5-May,4-Jun,30-25,16-11,4-Aug,21-15,3-Jan,5-Oct,5-Aug,10-Jun,3-Aug,7-Aug,3-May
17,Golden State Warriors,46-36,21-20,25-16,20-10,26-26,3-Jul,5-May,2-Aug,10-Sep,9-Jul,7-Oct,27-26,19-10,11-Apr,24-12,1-Mar,9-Jun,7-Jun,7-May,3-Nov,7-Sep,2-Jun
18,Sacramento Kings,46-36,24-17,22-19,16-14,30-22,5-May,5-May,4-Jun,5-Dec,7-Oct,10-Aug,31-23,15-13,5-Jun,26-19,1-Feb,6-Aug,5-Sep,7-Aug,6-Jun,6-Oct,5-Mar
19,Houston Rockets,41-41,27-14,14-27,13-17,28-24,7-Mar,5-May,5-May,8-Nov,9-Aug,7-Sep,24-30,17-11,5-Aug,23-17,0-3,5-Aug,7-Jul,10-Jul,9-Mar,13-2,5-Mar
20,Chicago Bulls,39-43,20-21,19-22,22-29,17-14,12-May,9-Jul,8-Oct,4-Jun,7-Mar,3-Aug,26-29,13-14,8-Jun,25-Dec,2-Feb,12-Apr,5-Sep,7-Aug,5-May,8-Aug,4-Mar
21,Atlanta Hawks,36-46,21-20,15-26,22-30,14-16,11-Aug,11-Jun,8-Aug,6-Apr,6-Apr,4-Jun,24-31,15-Dec,6-Sep,15-21,2-Feb,7-Jul,10-Apr,8-Jul,6-Jun,7-Aug,6-Feb
22,Brooklyn Nets,32-50,20-21,29-Dec,24-28,22-Aug,11-May,9-Aug,8-Nov,8-Feb,7-Mar,7-Mar,21-33,17-Nov,6-Apr,17-28,2-Jan,7-Aug,9-Jun,10-Apr,8-Apr,10-Jun,4-Mar
23,Utah Jazz,31-51,21-20,31-Oct,15-15,16-36,5-May,5-May,5-May,11-May,15-Mar,10-Aug,26-30,21-May,8-May,15-33,3-Jan,10-May,6-Aug,6-Oct,8-Mar,13-Feb,5-Feb
24,Memphis Grizzlies,27-55,Sep-32,18-23,13-18,14-37,7-Mar,5-Jun,6-Apr,16-Feb,13-Apr,8-Aug,20-36,19-Jul,3-Jun,Nov-31,0-4,9-Apr,9-Jun,7-Aug,10-Feb,11-Apr,5-Mar
25,Toronto Raptors,25-57,14-27,30-Nov,18-34,23-Jul,15-Jan,9-Aug,10-Sep,9-Jan,8-Feb,6-Apr,19-36,21-Jun,10-May,30-Oct,3-Jan,7-Aug,10-Mar,10-May,7-May,14-Jan,6-Feb
26,San Antonio Spurs,22-60,29-Dec,31-Oct,23-Aug,14-37,7-Mar,8-Mar,8-Feb,12-Jun,12-May,13-Mar,Nov-44,16-Nov,7-May,31-Dec,2-Feb,13-Jan,12-Feb,11-May,10-Feb,9-Jun,3-Apr
27,Charlotte Hornets,21-61,30-Nov,31-Oct,14-38,23-Jul,14-Apr,14-Apr,10-Jun,7-Mar,9-Jan,7-Mar,13-41,20-Aug,3-Jul,May-43,2-Jan,9-May,12-Jan,13-Mar,8-May,12-Mar,5-Mar
28,Portland Trail Blazers,21-61,30-Nov,31-Oct,13-17,Aug-44,5-May,5-May,7-Mar,15-Jan,16-Feb,13-May,15-39,22-Jun,6-May,May-38,3-Jan,9-May,10-Mar,11-Jun,0-9,13-Apr,6-Feb
29,Washington Wizards,15-67,Jul-34,Aug-33,Nov-41,26-Apr,17-Feb,12-May,12-Apr,9-Jan,9-Jan,8-Feb,Sep-45,22-Jun,5-Apr,Jun-35,2-Jan,13-Feb,11-Mar,12-Mar,0-12,11-May,6-Jan
30,Detroit Pistons,14-68,Jul-33,Jul-35,Oct-41,27-Apr,14-Mar,14-Feb,13-May,8-Feb,9-Jan,10-Jan,Aug-46,22-Jun,7-Jan,Aug-39,2-Feb,0-15,12-Jan,12-Mar,8-Mar,12-Apr,7-Jan
